"Carimbo de data/hora","Você já participou de algum projeto?","Em qual área você atuou no primeiro projeto?","Em que período você ingressou no Projeto?","Python","Java","JavaScript","Haskell","ProLog","SystemVerilog","C e C++","Bash","Assembly","Outro","HTML e CSS","React / React Native","NodeJS","Django,Flask","Docker","Spring-boot","Tensorflow, Pytorch, Scikit-learn","SQL","Microcontroladores","PhotoShop, Canva, Figma, Adobe XD (UX / UI)","Linux","AWS, Azure","P1, P2, LP1, LP2","Cálculo I e II, Linear, Vetorial","Probabilidade e estatística","Daca, psoft, prog web, ES, Projeto 1, Projeto 2","ATAL, EDA, LEDA, AA","FMCC(I ou II), Lógica","IC, OAC, LOAC","TC, Compiladores","Análise de sistemas","CDD, PLN, CDP, Redes neurais, IA, Percep. computacional","Redes, Segurança de sistemas, interconexões de Redes de Comp.","Na sua opinião, ter uma indicação de alguma pessoa (envolvida, ou não, nesse projeto), te proporcionou o ingresso de seu primeiro projeto?","Tudo correto, nas respostas anteriores?"
"2022/03/09 4:59:43 PM GMT-3","Sim","Desenvolvimento de Sistemas","Sétimo Período","1","1","5","1","1","1","1","1","1","","4","1","4","1","1","1","1","1","1","1","1","1","3","1","1","3","1","1","1","1","1","1","1","4","Sim, tudo bem respondido."
"2022/03/09 5:00:21 PM GMT-3","Sim","Inteligência artificial / Dados","Quarto Período","5","3","1","1","1","1","3","1","1","","1","1","1","1","1","1","5","3","1","1","4","1","4","5","5","1","4","5","1","2","3","5","1","3","Sim, tudo bem respondido."
"2022/03/09 5:01:31 PM GMT-3","Sim","Inteligência artificial / Dados","Quinto Período","5","1","3","1","1","1","1","4","1","","1","1","1","1","3","1","4","2","2","2","4","2","4","4","4","3","3","2","1","1","1","4","2","1","Sim, tudo bem respondido."
"2022/03/09 5:02:29 PM GMT-3","Sim","Inteligência artificial / Dados","Sexto Período","5","3","1","1","1","1","4","1","1","","1","1","1","2","2","1","5","3","1","1","5","1","5","5","5","2","5","5","1","2","1","5","1","5","Sim, tudo bem respondido."
"2022/03/09 5:02:55 PM GMT-3","Sim","Desenvolvimento de Sistemas","Oitavo Período","4","4","5","1","1","1","2","3","1","","5","5","5","3","4","4","1","4","2","5","3","4","5","1","2","5","2","2","2","1","2","1","2","2","Sim, tudo bem respondido."
"2022/03/09 6:37:30 PM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, tudo bem respondido."
"2022/03/09 8:43:37 PM GMT-3","Sim","Desenvolvimento de Sistemas","Sexto Período","4","4","5","1","1","1","2","3","1","","5","5","5","3","3","3","2","3","1","1","3","3","4","2","2","5","4","3","1","1","4","2","2","5","Sim, tudo bem respondido."
"2022/03/09 9:46:24 PM GMT-3","Sim","Desenvolvimento de Sistemas","Quinto Período","5","5","4","1","1","1","5","4","2","","2","2","2","2","2","3","2","2","2","4","5","2","5","2","3","4","3","3","2","2","3","2","3","5","Sim, cliquei aqui conscientemente."
"2022/03/10 1:53:29 PM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, tudo bem respondido."
"2022/03/12 2:36:31 PM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, cliquei aqui conscientemente."
"2022/03/12 2:38:12 PM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, tudo bem respondido."
"2022/03/13 8:37:12 PM GMT-3","Sim","Desenvolvimento de Sistemas","Terceiro Período","4","4","4","1","1","1","3","3","1","Golang","4","4","4","3","5","3","3","5","1","2","4","4","4","3","4","5","4","3","3","3","3","4","2","4","Sim, tudo bem respondido."
"2022/03/13 8:37:39 PM GMT-3","Sim","Desenvolvimento de Sistemas","Segundo Período","1","2","5","1","1","1","4","3","1","","5","4","5","3","1","4","1","5","1","3","5","5","2","1","1","3","5","3","1","1","1","1","1","5","Sim, cliquei aqui conscientemente."
"2022/03/13 10:08:23 PM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, cliquei aqui conscientemente."
"2022/03/14 2:08:40 AM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, tudo bem respondido."
"2022/03/14 8:29:11 AM GMT-3","Sim","Desenvolvimento de Sistemas","Segundo Período","1","1","1","1","1","1","5","4","1","R","1","1","1","1","1","1","1","1","1","1","5","1","2","1","1","1","2","1","2","1","1","1","1","3","Sim, cliquei aqui conscientemente."
"2022/03/14 11:12:41 AM GMT-3","Sim","Desenvolvimento de Sistemas","Quinto Período","3","5","5","2","1","1","4","4","1","","5","2","3","2","2","4","2","5","1","2","1","2","5","1","1","5","4","3","2","1","2","2","4","1","Sim, tudo bem respondido."
"2022/03/14 1:10:09 PM GMT-3","Sim","Inteligência artificial / Dados","Quarto Período","4","4","4","1","1","1","1","3","1","","4","4","4","4","4","4","4","5","2","2","3","3","5","1","2","5","3","3","1","1","2","","3","4","Sim, cliquei aqui conscientemente."
"2022/03/14 2:59:22 PM GMT-3","Sim","Inteligência artificial / Dados","Sexto Período","5","1","3","1","1","1","2","2","1","","2","4","4","4","2","1","4","3","1","1","4","2","4","4","4","3","2","1","1","1","2","5","1","1","Sim, cliquei aqui conscientemente."
"2022/03/14 2:59:55 PM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, cliquei aqui conscientemente."
"2022/03/14 3:02:59 PM GMT-3","Sim","Segurança de Dados","Terceiro Período","1","3","1","1","1","1","5","5","4","","1","1","1","1","1","1","1","1","1","1","5","1","5","3","3","5","5","3","4","1","5","3","3","1","Sim, tudo bem respondido."
"2022/03/14 3:03:58 PM GMT-3","Sim","Desenvolvimento de Sistemas","Quinto Período","3","1","5","1","1","1","1","2","1","","5","5","3","4","2","1","1","2","1","3","3","1","5","1","1","5","2","2","1","1","1","1","1","5","Sim, cliquei aqui conscientemente."
"2022/03/14 3:08:47 PM GMT-3","Sim","Desenvolvimento de Sistemas","Terceiro Período","4","5","5","1","1","1","1","5","1","","5","3","5","1","3","5","4","4","1","3","4","1","4","1","1","4","3","1","2","1","1","1","1","1","Sim, cliquei aqui conscientemente."
"2022/03/14 3:10:07 PM GMT-3","Sim","Desenvolvimento de Sistemas","Quarto Período","2","1","2","1","1","1","1","1","1","","2","1","1","1","1","1","1","1","1","1","2","1","3","1","2","1","2","3","1","1","1","1","1","1","Sim, tudo bem respondido."
"2022/03/14 3:11:34 PM GMT-3","Sim","Inteligência artificial / Dados","Quarto Período","5","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","5","1","1","1","5","1","5","5","5","2","4","4","1","1","1","5","1","5","Sim, tudo bem respondido."
"2022/03/14 3:12:37 PM GMT-3","Sim","Desenvolvimento de Sistemas","Quarto Período","3","4","5","1","1","1","1","3","1","","5","5","5","3","5","3","1","5","1","1","5","5","5","1","1","5","5","1","1","1","5","","3","1","Sim, tudo bem respondido."
"2022/03/14 3:12:41 PM GMT-3","Sim","Desenvolvimento de Sistemas","Sexto Período","1","5","5","1","1","1","1","1","1","","3","3","5","2","5","3","1","4","1","1","5","5","3","1","2","5","5","3","1","1","5","1","3","2","Sim, cliquei aqui conscientemente."
"2022/03/14 3:13:02 PM GMT-3","Sim","Cloud computing","Quarto Período","4","4","1","1","1","1","1","1","1","go","1","1","1","1","5","1","1","4","1","1","5","3","3","1","1","5","5","1","3","1","3","2","3","1","Sim, tudo bem respondido."
"2022/03/14 3:14:47 PM GMT-3","Sim","Desenvolvimento de Sistemas","Quarto Período","1","4","4","1","1","1","1","1","1","Kotlin","4","4","1","1","5","5","1","5","1","4","1","5","5","1","1","5","3","3","1","4","3","1","1","5","Sim, tudo bem respondido."
"2022/03/14 3:18:43 PM GMT-3","Sim","Desenvolvimento de Sistemas","Terceiro Período","1","3","5","1","1","1","1","1","1","","2","2","5","1","3","1","1","4","1","1","4","4","5","2","2","","","","","","","","","3","Sim, tudo bem respondido."
"2022/03/14 3:23:54 PM GMT-3","Sim","Desenvolvimento de Sistemas","Segundo Período","2","5","5","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","Sim, tudo bem respondido."
"2022/03/14 3:25:58 PM GMT-3","Sim","Desenvolvimento de Sistemas","Sexto Período","5","1","4","1","1","1","1","4","1","","4","1","1","3","4","1","1","1","1","1","2","1","5","1","3","5","3","3","1","2","1","3","1","3","Sim, tudo bem respondido."
"2022/03/14 3:30:26 PM GMT-3","Sim","Desenvolvimento de Sistemas","Quinto Período","1","1","5","1","1","1","1","4","1","","5","5","5","1","5","1","1","5","1","3","3","5","5","1","2","5","3","1","2","1","5","1","4","1","Sim, tudo bem respondido."
"2022/03/14 3:46:51 PM GMT-3","Sim","Inteligência artificial / Dados","Sétimo Período","5","3","5","2","2","3","4","3","2","","3","4","5","4","4","3","5","3","2","2","5","1","3","1","3","5","5","2","2","2","3","5","1","4","Sim, tudo bem respondido."
"2022/03/14 3:53:19 PM GMT-3","Sim","Inteligência artificial / Dados","Oitavo Período","5","2","5","3","1","1","3","4","1","","3","4","4","4","5","3","3","4","2","1","3","3","4","3","3","5","4","2","2","3","4","4","2","1","Sim, cliquei aqui conscientemente."
"2022/03/14 3:59:08 PM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, cliquei aqui conscientemente."
"2022/03/14 4:27:15 PM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, tudo bem respondido."
"2022/03/14 6:05:26 PM GMT-3","Não","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sim, cliquei aqui conscientemente."
"2022/03/14 8:53:34 PM GMT-3","Sim","Inteligência artificial / Dados","Quinto Período","1","5","4","1","1","1","1","3","1","","4","1","3","1","2","5","1","4","1","1","5","1","5","1","1","5","4","1","1","1","3","1","1","2","Sim, tudo bem respondido."
"2022/03/14 9:34:01 PM GMT-3","Sim","Desenvolvimento de Sistemas","Sexto Período","1","5","5","1","1","1","3","1","1","","1","1","5","1","1","4","1","1","1","1","1","1","5","1","1","5","3","3","1","2","2","1","1","5","Sim, tudo bem respondido."
"2022/03/15 9:39:53 AM GMT-3","Sim","Desenvolvimento de Sistemas","Sexto Período","1","5","3","1","1","1","1","1","1","","3","1","1","1","1","5","1","5","1","1","1","2","5","1","1","3","3","3","1","1","1","1","1","1","Sim, cliquei aqui conscientemente."
"2022/03/15 9:44:24 AM GMT-3","Sim","Inteligência artificial / Dados","Quarto Período","5","2","3","1","1","1","1","1","1","","2","3","3","1","1","1","5","5","1","1","4","2","5","3","2","2","4","2","2","2","2","4","2","5","Sim, tudo bem respondido."
"2022/03/15 9:58:39 AM GMT-3","Sim","Desenvolvimento de Sistemas","Quarto Período","3","1","5","1","1","1","1","3","1","","5","5","5","1","4","4","1","5","1","3","4","4","5","1","4","5","3","3","3","3","5","3","3","1","Sim, cliquei aqui conscientemente."
